player,type,estimate,std.error,statistic,p.value
METHODZ,P1,0.6967124641768316,0.0703605602041817,-5.136151357386364,2.8042183981165473e-7
METHODZ,P3,1.1804551323525008,0.09180145481072068,1.8071616603234344,0.07073707689607413
METHODZ,P2,1.2132669249272172,0.0966519939098446,2.00013110397037,0.04548610889210933
MOOSE,P3,0.8143925030183341,0.10974967428043397,-1.8707375680333904,0.06138146488762852
MOOSE,P2,1.0950985090318868,0.10943584938202512,0.8301148327651442,0.4064738615720987
MOOSE,P1,1.1522297825654715,0.09821354098790601,1.4427644598759586,0.1490868339443104
NAGAFEN,P2,1.2372769677391071,0.12579368372404937,1.692556929926038,0.09053983511949056
NAGAFEN,P3,0.8870967051040993,0.1306304797937755,-0.9171004951095937,0.3590899816502615
NAGAFEN,P1,0.8746036524365736,0.1227085632456516,-1.0918917176260996,0.27488069858050407
NAMELESS,P1,0.8585796605835281,0.10017351766785156,-1.522116983309616,0.12797977127452523
NAMELESS,P3,1.0921812691993775,0.12160399186924059,0.725114855413682,0.46838157159484367
NAMELESS,P2,1.155239533638413,0.12062178629899767,1.196365228297688,0.23155406436316495
NIMBLE,P3,0.5683100125128753,0.27845397660060095,-2.0293774194747884,0.04241986323101583
NIMBLE,P1,1.0809062263475893,0.10890542141908578,0.7143793830099567,0.4749926170988772
NIMBLE,P2,1.7444344956091677,0.27484324043890057,2.0245374452696345,0.042914883215937887
NOVA,P2,1.2653209166690518,0.2164639844831939,1.0871359484310346,0.2769767327653245
NOVA,P3,0.8158159119577589,0.22000543309155257,-0.9252796383231917,0.3548204674116647
NOVA,P1,1.0092056230849653,0.12844882986343314,0.0713397669964642,0.943127346352471
OCTANE,P3,1.1780219442231163,0.10808121672151673,1.5158666639624974,0.12955307116277837
OCTANE,P1,0.680532929147756,0.06365289262728768,-6.046529113426153,1.479994989996e-9
OCTANE,P2,1.326644153841875,0.10768518411587183,2.6248045479886013,0.008669871935951723
PANDUR,P3,1.2438827381137998,0.1498749927159406,1.4561316998445388,0.1453562159180643
PANDUR,P1,0.9059640786034759,0.11726340380339621,-0.8421691581738653,0.39969327469615984
PANDUR,P2,1.1959010209235375,0.1453995811398704,1.2304017128257059,0.21854671227567318
PARASITE,P2,1.0970832260395622,0.12402719942775811,0.7470542412362415,0.4550308199262966
PARASITE,P1,0.8509120265477264,0.10632032147004697,-1.5184917622510643,0.128890474630465
PARASITE,P3,1.063828166507174,0.1169559812008548,0.5290356217644927,0.5967807392031896
PRESTINNI,P2,1.257684559545487,0.09887036558226019,2.318919100849886,0.020399423238359513
PRESTINNI,P3,0.9893571324851325,0.1010735876720145,-0.10586255175391841,0.9156914064282823
PRESTINNI,P1,1.027675475390749,0.06406350426896183,0.42613079143579985,0.670012544395467
PRIESTAH,P3,1.1956328621787047,0.16170844209317317,1.1049246079411956,0.2691922585578487
PRIESTAH,P2,1.0788714376561368,0.16158679894406286,0.4698126959770262,0.6384888429358057
PRIESTAH,P1,0.8070189038748055,0.0627081666170303,-3.4191429550178256,6.28187140279812e-4
PROTO,P1,1.0270553656251298,0.14391721535082408,0.1854944141458754,0.8528412611095102
PROTO,P3,0.9238555522311701,0.15231881972396352,-0.5199590468120668,0.6030921191565923
PROTO,P2,1.0702296025531282,0.14861305456650917,0.45671093618095177,0.6478788292116464
RATED,P3,1.2545796918426502,0.10206364715163296,2.22214878579314,0.026273252219469623
RATED,P2,1.159824430925612,0.1023950287747021,1.448006243928145,0.14761530435778092
